id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38967414,Townhouse in Porto · 1 bedroom · 2 beds · 1 private bath,298169203,Suzanne,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15236,-8.61299,Private room,89,1,0,,,4,365,0,
38979143,Townhouse in Vila Nova de Gaia · ★4.98 · 4 bedrooms · 6 beds · 3 baths,69541709,Maria João,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12736,-8.60596,Entire home/apt,146,3,46,2023-06-05,2.06,3,244,31,106669/AL
38993311,Tiny home in Leça da Palmeira · ★4.80 · 1 bedroom · 2 beds · 1 private bath,292135622,Maria Carmo,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1906,-8.70268,Private room,49,1,103,2023-05-20,2.32,3,99,42,
38199486,Rental unit in Gemunde · 1 bedroom · 1 bed · 2 baths,161103253,Simone,MAIA,Castêlo da Maia,41.26658,-8.63207,Private room,28,1,0,,,1,0,0,
38201426,Rental unit in Porto · ★4.0 · 4 bedrooms · 15 beds · 3 baths,12730028,Host,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15136,-8.61275,Entire home/apt,419,1,7,2023-06-04,0.55,229,345,6,56853/AL
38561309,Place to stay in Porto · ★4.89 · 1 bedroom · 2 beds · 1 bath,76721266,Constança,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.17149,-8.67191,Entire home/apt,59,2,144,2023-06-06,3.61,2,137,54,61913/AL
39021448,Rental unit in Porto · ★4.57 · 3 bedrooms · 4 beds · 3 baths,12730028,Host,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14953,-8.6046,Entire home/apt,277,1,145,2023-06-01,3.27,229,343,53,95928/AL
38572226,Rental unit in Vila Nova de Gaia · 1 bedroom · 1 bed · 1 bath,294308421,Manuel Francisco Tavares,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13536,-8.61202,Entire home/apt,45,2,0,,,3,0,0,93860/AL
39022521,Rental unit in Vila Nova de Gaia · ★4.31 · 4 bedrooms · 5 beds · 2 baths,250250069,Valter,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13588,-8.60578,Entire home/apt,195,1,103,2023-06-11,2.32,10,307,43,791871/AL
38205864,Home in Senhora da Hora · ★4.79 · 1 bedroom · 3 beds · 1 shared bath,49284533,Marta,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18388,-8.67021,Private room,57,1,42,2023-05-19,0.92,3,283,14,
39022891,Rental unit in Matosinhos · ★4.74 · 1 bedroom · 1 bed · 1 bath,130004637,Francisco,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18124,-8.67062,Entire home/apt,49,2,34,2023-05-29,0.76,23,257,6,101332/AL
38575057,Rental unit in Vila Nova de Gaia · 1 bedroom · 1 bed · 1 bath,294308421,Manuel Francisco Tavares,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13536,-8.61202,Entire home/apt,45,2,0,,,3,0,0,93959/AL
39031873,Rental unit in Porto · ★4.88 · 2 bedrooms · 3 beds · 1 bath,299111677,Sara,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14619,-8.6054,Entire home/apt,106,3,107,2023-06-05,2.44,1,26,51,101962/AL
38575451,Rental unit in Vila Nova de Gaia · 1 bedroom · 2 beds · 1 bath,294308421,Manuel Francisco Tavares,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13613,-8.61273,Entire home/apt,50,2,0,,,3,0,0,93960/AL
38600054,Home in Matosinhos · ★4.20 · 1 bedroom · 2 beds · 1 bath,364783572,GuestReady,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18086,-8.69135,Entire home/apt,73,1,115,2023-06-08,2.53,206,272,22,104047/AL
38632758,Rental unit in Vila Nova de Gaia · ★4.94 · 2 bedrooms · 3 beds · 1 bath,295069602,Diana,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.1208,-8.60692,Entire home/apt,150,3,16,2023-03-21,0.36,1,244,11,52073/AL
38210593,Rental unit in Porto · ★4.95 · 2 bedrooms · 4 beds · 2 baths,61243248,Ricardo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15353,-8.61299,Entire home/apt,213,2,141,2023-06-11,3.08,2,259,64,100664/AL
38213066,Rental unit in São Félix da Marinha · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,288958436,Patrícia,VILA NOVA DE GAIA,São Félix da Marinha,41.02605,-8.62933,Private room,36,2,3,2022-09-02,0.29,2,0,3,
38226721,Condo in Alfena · ★New · 2 bedrooms · 2 beds · 2 baths,52549816,Miguel,VALONGO,Alfena,41.25526,-8.51596,Entire home/apt,86,1,0,,,1,191,0,Exempt
39044494,Place to stay in Matosinhos · ★4.46 · 1 bedroom · 1 bed · 1 private bath,198234407,Leão De,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18623,-8.69362,Private room,66,1,50,2023-05-28,1.17,3,76,17,56415/AL
38226760,Place to stay in Matosinhos · ★4.27 · 1 bedroom · 2 beds · 1 private bath,198234407,Leão De,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18478,-8.69422,Private room,85,1,15,2022-05-09,0.34,3,45,0,
38250978,Rental unit in Porto · ★4.63 · Studio · 2 beds · 1 bath,124064965,Miguel,PORTO,Bonfim,41.14561,-8.59684,Entire home/apt,59,2,30,2023-05-01,0.66,4,272,19,91535/AL
38635398,Rental unit in Matosinhos · ★4.87 · 2 bedrooms · 3 beds · 2 baths,295101156,Emília,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18156,-8.69051,Entire home/apt,170,4,32,2023-05-25,0.71,1,17,7,91226/AL
39051151,Rental unit in Porto · Studio · 2 beds · 1 bath,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15933,-8.6243,Entire home/apt,127,1,0,,,26,160,0,100743/AL
38275428,Rental unit in Porto · ★4.46 · 1 bedroom · 2 beds · 1 bath,12730028,Host,PORTO,Bonfim,41.15068,-8.59599,Entire home/apt,103,1,72,2023-05-01,1.58,229,0,26,103479/AL
