id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26769646,Rental unit in Lisboa · ★4.81 · 1 bedroom · 1 bed · 1 bath,23081210,Maria De Lurdes,Lisboa,Misericrdia,38.71437,-9.14576,Entire home/apt,90,3,64,2023-05-25,1.07,2,8,34,86189/AL
27193783,Rental unit in Lisboa · ★4.98 · 3 bedrooms · 5 beds · 2 baths,204768465,Luís & Paula,Lisboa,Santa Maria Maior,38.71231,-9.12947,Entire home/apt,144,1,222,2023-06-07,3.77,1,183,93,78201/AL
26948621,Rental unit in Lisboa · ★4.65 · 1 bedroom · 1 bed · 1 bath,14317794,Bernardo E Ana Rita,Lisboa,So Vicente,38.71374,-9.12418,Entire home/apt,103,3,72,2023-06-08,1.22,24,125,20,77746/AL
26770585,Home in Sintra · ★4.72 · 3 bedrooms · 6 beds · 2 baths,178208707,Cristina,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80542,-9.39724,Entire home/apt,140,1,112,2023-05-29,1.90,2,318,31,77368/AL
27368297,Home in Cascais · ★4.91 · 1 bedroom · 1 bed · 2 baths,99481117,Carla Martins,Cascais,Cascais e Estoril,38.69743,-9.42497,Entire home/apt,163,3,22,2019-09-30,0.38,26,0,0,51399/AL
26950046,Rental unit in Lisboa · ★4.97 · 3 bedrooms · 4 beds · 2 baths,199384318,Nathalie,Lisboa,Santo Antnio,38.72359,-9.1446,Entire home/apt,160,1,37,2023-06-07,0.74,5,194,27,76370/AL
26951388,Home in Ericeira · ★4.97 · 1 bedroom · 1 bed · 1 private bath,202772344,Mário,Mafra,Ericeira,38.97092,-9.40322,Private room,72,1,29,2023-04-18,0.61,10,15,2,
27380577,Rental unit in Lisboa · ★4.0 · 3 bedrooms · 3 beds · 2 baths,192056252,Inácio,Lisboa,Parque das Naes,38.77453,-9.09699,Entire home/apt,500,3,3,2022-04-09,0.05,1,0,0,78804/AL
27193971,Rental unit in Cascais · ★4.69 · 2 bedrooms · 5 beds · 1.5 baths,204680542,Tom,Cascais,Cascais e Estoril,38.69854,-9.43911,Entire home/apt,140,2,35,2023-05-02,0.59,1,317,14,78767/AL
27194933,Rental unit in Lisboa · 2 bedrooms · 2 beds · 2 baths,50307560,Cristina,Lisboa,Alvalade,38.75615,-9.13355,Entire home/apt,110,2,0,,,1,0,0,78205/AL
26953360,Rental unit in Lisboa · ★4.94 · 2 bedrooms · 3 beds · 2 baths,163699322,Paulo And Catarina,Lisboa,So Vicente,38.71955,-9.12725,Entire home/apt,145,2,318,2023-06-09,5.39,3,102,86,69440/AL
26954430,Rental unit in Lisboa · ★4.89 · 2 bedrooms · 4 beds · 2 baths,17125483,Patrícia,Lisboa,Avenidas Novas,38.73363,-9.15523,Entire home/apt,283,2,110,2023-05-16,1.85,33,302,27,75606/AL
27547321,Rental unit in Lisboa · ★4.96 · 1 bedroom · 2 beds · 1 bath,157141527,Nest@Lisbon,Lisboa,Santa Maria Maior,38.712955,-9.132999,Entire home/apt,187,2,182,2023-05-16,3.14,18,99,43,79487/AL
27556024,Rental unit in Lisboa · ★4.61 · 3 bedrooms · 5 beds · 1 bath,1756107,Altido,Lisboa,Misericrdia,38.71402,-9.15122,Entire home/apt,191,2,38,2023-05-22,0.68,118,330,21,18191/AL
27556025,Rental unit in Lisboa · ★4.45 · 3 bedrooms · 4 beds · 1 bath,1756107,Altido,Lisboa,Misericrdia,38.71591,-9.14991,Entire home/apt,203,2,38,2023-05-31,0.73,118,336,18,39155/AL
27556026,Rental unit in Lisboa · ★4.44 · 3 bedrooms · 4 beds · 2 baths,1756107,Altido,Lisboa,Misericrdia,38.71457,-9.15158,Entire home/apt,235,2,54,2023-05-27,0.95,118,325,31,18188/AL
27563139,Home in Lisboa · ★4.88 · 3 bedrooms · 6 beds · 3.5 baths,80745409,Diogo & Priscila,Lisboa,Areeiro,38.74144,-9.13792,Entire home/apt,236,2,75,2023-06-03,1.77,35,299,29,105869/AL.
27563238,Rental unit in Lisboa · ★4.97 · 3 bedrooms · 4 beds · 2 baths,199384318,Nathalie,Lisboa,Santo Antnio,38.72493,-9.14463,Entire home/apt,181,2,38,2023-05-18,0.68,5,203,23,76373/AL
27564814,Rental unit in Lisboa · ★4.45 · 1 bedroom · 1 bed · 2 shared baths,12953697,Carmo,Lisboa,Santo Antnio,38.72628,-9.14754,Private room,28,30,11,2022-08-28,0.19,11,61,4,
27569861,Boat in Lisboa · ★4.67 · 1 bedroom · 1 bed · 1 bath,161726388,Royal Marine,Lisboa,Belm,38.694,-9.20538,Entire home/apt,120,1,46,2023-05-20,0.79,2,353,11,910808247
27573346,Condo in Alcabideche · ★4.76 · 2 bedrooms · 3 beds · 2 baths,208040778,Ana,Cascais,Alcabideche,38.73293,-9.36792,Entire home/apt,138,3,21,2022-09-19,0.36,1,211,5,81278/AL
27201262,Rental unit in Lisbon · ★4.62 · 3 bedrooms · 1 bed · 1.5 baths,204837115,Hanifa,Lisboa,So Domingos de Benfica,38.7522,-9.18204,Private room,55,2,43,2021-05-17,0.73,1,43,0,
27213416,Rental unit in Lisboa · ★4.85 · 3 bedrooms · 4 beds · 1 bath,204939778,Inês & Koen,Lisboa,Arroios,38.72743,-9.13118,Entire home/apt,144,3,62,2023-06-03,1.05,1,111,24,75433/AL
27214422,Rental unit in Lisboa · ★4.61 · Studio · 1 bed · 1 bath,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.71518,-9.14235,Entire home/apt,99,1,41,2023-04-16,0.81,312,262,6,78556/AL
27217694,Rental unit in Lisboa · ★4.58 · Studio · 1 bed · 1 bath,29064494,Lisbon Residence,Lisboa,Misericrdia,38.70846,-9.14849,Entire home/apt,96,2,147,2023-05-29,2.50,11,120,42,78426/AL
27218370,Rental unit in Lisboa · ★4.58 · 1 bedroom · 2 beds · 1 bath,162254878,Isabel,Lisboa,Arroios,38.73161,-9.1342,Entire home/apt,115,3,36,2023-06-09,0.83,1,233,24,97223/AL
27219311,Rental unit in Lisboa · ★4.21 · 2 bedrooms · 3 beds · 1 bath,140243657,Ricardo,Lisboa,Beato,38.73548,-9.122,Entire home/apt,165,1,19,2022-11-03,0.32,13,13,4,76680/AL
27381629,Rental unit in Lisboa · ★4.65 · 2 bedrooms · 2 beds · 2 baths,206354203,Isabelle,Lisboa,Penha de Frana,38.72806,-9.1282,Entire home/apt,55,3,88,2023-05-17,1.51,1,72,27,77031/AL
27382288,Rental unit in Lisboa · ★4.92 · 1 bedroom · 2 beds · 1 bath,15036024,Daniel,Lisboa,Santa Maria Maior,38.71223,-9.13695,Entire home/apt,103,3,211,2023-05-27,3.63,1,201,65,79443/AL
27386169,Rental unit in Lisboa · ★4.35 · 2 bedrooms · 3 beds · 1 bath,22192546,Tânia,Lisboa,So Vicente,38.71732,-9.12908,Entire home/apt,179,3,51,2023-04-22,0.87,41,305,18,81357/AL
27575307,Rental unit in Lisboa · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,86040231,Dinah,Lisboa,Santo Antnio,38.72434,-9.1433,Private room,153,3,25,2019-09-30,0.43,3,0,0,
27576411,Rental unit in Sintra · ★4.89 · 1 bedroom · 2 beds · 1 bath,208067585,Rogério,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.76789,-9.36154,Entire home/apt,50,2,18,2019-09-09,0.31,1,101,0,61451/AL
27386224,Rental unit in Lisboa · ★4.91 · 4 bedrooms · 5 beds · 2 baths,2460076,Lucienne,Lisboa,Estrela,38.71527,-9.16317,Entire home/apt,388,3,54,2023-05-21,0.98,1,134,14,82440/AL
27387449,Rental unit in Lisboa · ★4.49 · 1 bedroom · 1 bed · 1 bath,206392411,Joana & Tiago,Lisboa,Misericrdia,38.71432,-9.15025,Entire home/apt,112,2,79,2023-06-08,1.35,2,285,37,41050/AL.
27579666,Guesthouse in Parede · ★4.86 · 2 bedrooms · 3 beds · 1.5 baths,208094496,Rodrigo,Cascais,Carcavelos e Parede,38.691525,-9.351588,Entire home/apt,142,2,116,2023-06-10,2.04,1,193,28,78157/AL
27588114,Rental unit in Ericeira · ★4.70 · 4 bedrooms · 4 beds · 2 baths,131068428,Sergio,Mafra,Ericeira,38.96397,-9.41756,Entire home/apt,297,4,46,2023-04-30,0.81,3,317,11,16835/AL
27589637,Aparthotel in Ericeira · ★5.0 · 4 bedrooms · 4 beds,208179577,You,Mafra,Ericeira,38.95288,-9.41295,Hotel room,485,1,3,2019-09-08,0.05,2,231,0,8078
27388367,Rental unit in Lisboa · ★4.79 · 2 bedrooms · 2 beds · 1 bath,11245842,Mandy&Yu,Lisboa,Alcntara,38.70208,-9.18183,Entire home/apt,107,1,172,2023-05-26,2.92,6,203,23,76108/AL
27219850,Rental unit in Estoril · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,204808824,Lidiane,Cascais,Cascais e Estoril,38.69718,-9.36889,Private room,30,1,15,2020-08-16,0.26,2,78,0,
27594472,Rental unit in Lisboa · ★5.0 · 3 bedrooms · 3 beds · 3 baths,19358285,Michelle,Lisboa,Avenidas Novas,38.73502,-9.15764,Entire home/apt,98,2,42,2020-03-18,0.77,1,0,0,81487/AL
27222410,Rental unit in Lisboa · ★4.89 · 3 bedrooms · 6 beds · 2 baths,203590601,Filipa,Lisboa,Santa Maria Maior,38.71262,-9.13519,Entire home/apt,55,2,62,2020-03-14,1.08,1,56,0,69063/AL
27595500,Rental unit in Lisboa · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,85377682,Charme Da Graça,Lisboa,So Vicente,38.71534,-9.13085,Private room,151,1,4,2022-11-06,0.08,6,149,1,
27600852,Rental unit in Lisbon · ★4.42 · 1 bedroom · 1 bed · 1 bath,34827624,Lisbonne,Lisboa,Santa Maria Maior,38.71838,-9.13481,Entire home/apt,153,1,19,2023-02-28,0.33,37,163,2,79731/AL
