Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Serviced apartment in porto,★4.94,"Studio, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,144,2,Casaporto,47,2023-06-09 00:00:00,41.145015716552734,-8.614301681518555
Tiny home in porto,★4.93,"1 bedroom, 1 bed, 1 bath",Porto,Paranhos,Entire home/apt,35,2,Maria De Fátima,28,2023-06-12 00:00:00,41.177109,-8.617099
Vacation home in cabreiro,★Unknown,"1 bedroom, 4 beds, 1 shared bath",Arouca,Cabreiros e Albergaria da Serra,Private room,40,2,Isabel,0,,40.87169,-8.2359
Rental unit in porto,★4.0,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,89,3,José,4,2023-05-24 00:00:00,41.15257,-8.60584
Rental unit in porto,★4.0,"1 bedroom, 1 bed, 1 bath",Porto,Bonfim,Entire home/apt,85,1,Nomad City Flats,4,2022-10-16 00:00:00,41.14778,-8.60133
Condo in porto,★4.31,"1 bedroom, 2 beds, 1 bath",Porto,Ramalde,Entire home/apt,63,3,Joana,26,2023-05-20 00:00:00,41.16654,-8.65499
Rental unit in porto,★4.67,"2 bedrooms, 3 beds, 1 bath",Porto,Bonfim,Entire home/apt,75,2,Aposentus,48,2023-06-10 00:00:00,41.146473,-8.596384
Rental unit in porto,★Unknown,"1 bedroom, 1 bed, 1 private bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,47,3,Entre Amigos,1,2023-04-12 00:00:00,41.160397,-8.607632
Condo in porto,★5.0,"2 bedrooms, 3 beds, 2 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,109,2,Pedro,97,2023-06-11 00:00:00,41.14376449584961,-8.608410835266113
Rental unit in porto,★4.0,"2 bedrooms, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,140,1,Miguel,10,2023-06-09 00:00:00,41.141335,-8.607848
Serviced apartment in porto,★4.67,"2 bedrooms, 3 beds, 3 baths",Porto,Bonfim,Entire home/apt,160,2,Ox,27,2023-05-06 00:00:00,41.1555,-8.6034
Rental unit in porto,★4.87,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,94,1,Diogo,39,2023-06-02 00:00:00,41.14375,-8.60862
Rental unit in porto,★4.53,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,120,2,Florinda,15,2023-04-09 00:00:00,41.14383,-8.61545
Serviced apartment in canidelo,★4.89,"2 bedrooms, 4 beds, 2 baths",Vila Nova de Gaia,Canidelo,Entire home/apt,96,2,Sónia,19,2023-04-21 00:00:00,41.120136,-8.655181
Rental unit in porto,★4.64,"2 bedrooms, 4 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,275,1,Rui,25,2023-04-24 00:00:00,41.14522,-8.60306
Rental unit in porto,★4.58,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,59,2,Aposentus,52,2023-06-08 00:00:00,41.15274,-8.616044
