Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in lisbon,★4.90,"3 bedrooms, 4 beds, 3 baths",Lisboa,Misericrdia,Entire home/apt,269,5,Ines,303,2023-05-30,38.71001,-9.14374
Rental unit in lisbon,★5.0,"1 bedroom, 1 bed, 1 bath",Lisboa,Campo de Ourique,Entire home/apt,125,14,Maria & Júlia,7,2023-04-30,38.71879,-9.15853
Rental unit in lisbon,★4.73,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,82,1,Jorge,543,2023-06-11,38.71284,-9.13085
Guest suite in lisbon,★4.49,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,51,1,Cristina,59,2019-06-09,38.71722,-9.13019
Rental unit in lisbon,★3.83,"3 bedrooms, 5 beds, 3 baths",Lisboa,Santo Antnio,Entire home/apt,150,3,Victor,6,2023-05-09,38.72621,-9.14318
Rental unit in lisbon,★4.22,"1 bedroom, 3 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,120,3,Victor,9,2019-11-02,38.72486,-9.14329
Bed and breakfast in lisbon,★4.78,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Santa Maria Maior,Private room,90,1,Great Stay,117,2023-05-30,38.71135,-9.13616
Condo in lisbon,★4.78,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Campolide,Private room,30,2,João,9,2023-05-25,38.72932,-9.16566
Rental unit in lisbon,★4.67,"3 bedrooms, 4 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,95,3,Kathia,84,2023-05-29,38.70901,-9.15158
Rental unit in lisbon,★4.22,"1 bedroom, 1 bed, 2 shared baths",Lisboa,Santo Antnio,Private room,55,90,Joel,44,2022-09-01,38.72129,-9.1422
Rental unit in sintra,★Unknown,"1 bedroom, 2 beds, 2 baths",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Private room,100,1,Ekk,0,,38.76467,-9.36206
Rental unit in lisboa,★4.66,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,103,2,André & Cristina,122,2023-05-31,38.71838,-9.129015
Rental unit in lisbon,★4.59,"2 bedrooms, 5 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,140,2,Luis,338,2023-06-05,38.71099,-9.14829
Rental unit in lisbon,★4.60,"2 bedrooms, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,60,1,Dulce,276,2023-06-04,38.71403,-9.14551
Condo in lisbon,★4.87,"2 bedrooms, 3 beds, 1 bath",Lisboa,Avenidas Novas,Entire home/apt,60,2,Renata,234,2023-04-18,38.74524,-9.14776
Condo in cascais,★4.77,"1 bedroom, 3 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,99,3,Maria,35,2019-08-25,38.69901,-9.4398
Boat in lisbon,★Unknown,"1 bedroom, 1 bed",Lisboa,Estrela,Private room,360,1,José,0,,38.70065,-9.17491
Rental unit in lisbon,★4.83,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,65,2,José,147,2018-10-24,38.70962,-9.14739
Condo in cascais,★4.79,"1 bedroom, 2 beds, 2 baths",Cascais,Cascais e Estoril,Entire home/apt,159,4,Mateus,24,2022-10-02,38.69922,-9.44053
Rental unit in lisboa,★4.87,"1 bedroom, 1 bed, 1 bath",Lisboa,Santo Antnio,Entire home/apt,99,2,Sandra & Sofia,648,2023-06-12,38.7213,-9.14437
Rental unit in lisbon,★4.84,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,53,7,Pedro,360,2023-05-17,38.71259,-9.12912
Rental unit in lisbon,★4.66,"2 bedrooms, 3 beds, 1 bath",Lisboa,Arroios,Entire home/apt,140,2,Maria Simone,107,2023-06-11,38.72199,-9.14002
Rental unit in lisbon,★4.87,"1 bedroom, 1 bed, 1 bath",Lisboa,Santo Antnio,Entire home/apt,160,3,Maria Simone,118,2023-04-30,38.72419,-9.1474
Rental unit in lisbon,★4.71,"2 bedrooms, 2 beds, 1 bath",Lisboa,Arroios,Entire home/apt,120,1,Maria Simone,152,2023-05-17,38.72138,-9.13945
Rental unit in lisbon,★4.57,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,118,3,Tiago,478,2023-05-30,38.71279,-9.14503
Rental unit in lisbon,★4.89,"2 bedrooms, 2 beds, 1 bath",Lisboa,Estrela,Entire home/apt,145,3,Nuno,322,2023-05-24,38.70927,-9.16122
Rental unit in lisboa,★Unknown,"1 bedroom, 1 bed, 1 shared bath",Lisboa,So Domingos de Benfica,Private room,62,1,Isabel,0,,38.75643,-9.177
Rental unit in lisbon,★4.70,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,103,3,Sandra,285,2023-06-07,38.71341,-9.13519
Rental unit in vila franca de xira municipality,★Unknown,"1 bedroom, 1 bed, 2 baths",Vila franca de xira,Vila Franca de Xira,Private room,50,1,Vanessa,0,,38.95722,-9.00264
Rental unit in lisbon,★4.92,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,100,3,Michela,452,2023-05-17,38.71376,-9.1364
