;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Mangualde;  9 016;  4 358;  4 658;  5 426;  2 405;  3 021;  2 808;  1 131;  1 677;;16G1806;;;;x
Nelas;  6 254;  2 989;  3 265;  4 048;  1 734;  2 314;  2 099;   835;  1 264;;16G1809;;;;x
Oliveira de Frades;  4 997;  2 439;  2 558;  2 379;  1 020;  1 359;  1 233;   482;   751;;16G1810;;;;x
Penalva do Castelo;  3 324;  1 629;  1 695;  2 575;  1 120;  1 455;  1 398;   572;   826;;16G1811;;;;x
Santa Comba Dão;  5 016;  2 400;  2 616;  3 476;  1 522;  1 954;  1 827;   744;  1 083;;16G1814;;;;x
São Pedro do Sul;  7 132;  3 485;  3 647;  4 991;  2 131;  2 860;  2 581;  1 012;  1 569;;16G1816;;;;x
Sátão;  5 357;  2 579;  2 778;  3 381;  1 458;  1 923;  1 801;   708;  1 093;;16G1817;;;;x
Tondela;  12 575;  6 032;  6 543;  8 293;  3 596;  4 697;  4 465;  1 819;  2 646;;16G1821;;;;x
Vila Nova de Paiva;  2 239;  1 088;  1 151;  1 514;   662;   852;   809;   308;   501;;16G1822;;;;x
Viseu;  52 689;  24 755;  27 934;  23 732;  10 314;  13 418;  11 699;  4 732;  6 967;;16G1823;;;;x
Vouzela;  4 697;  2 289;  2 408;  3 020;  1 291;  1 729;  1 668;   684;   984;;16G1824;;;;x
   Beira Baixa;  38 683;  18 999;  19 684;  27 077;  11 765;  15 312;  14 957;  5 941;  9 016;;16H;;;x;
Castelo Branco;  26 568;  12 698;  13 870;  14 926;  6 531;  8 395;  7 748;  3 095;  4 653;;16H0502;;;;x
Idanha-a-Nova;  3 447;  1 783;  1 664;  3 546;  1 511;  2 035;  2 170;   857;  1 313;;16H0505;;;;x
Oleiros;  2 067;  1 073;   994;  2 265;   976;  1 289;  1 317;   524;   793;;16H0506;;;;x
Penamacor;  2 025;  1 083;   942;  2 111;   920;  1 191;  1 311;   524;   787;;16H0507;;;;x
Proença-a-Nova;  3 257;  1 698;  1 559;  2 739;  1 180;  1 559;  1 492;   559;   933;;16H0508;;;;x
Vila Velha de Ródão;  1 319;   664;   655;  1 490;   647;   843;   919;   382;   537;;16H0511;;;;x
   Médio Tejo;  113 717;  55 456;  58 261;  66 758;  28 134;  38 624;  35 852;  13 706;  22 146;;16I;;;x;
Abrantes;  16 776;  8 342;  8 434;  10 726;  4 547;  6 179;  5 689;  2 207;  3 482;;16I1401;;;;x
Alcanena;  6 210;  3 050;  3 160;  3 567;  1 536;  2 031;  1 812;   727;  1 085;;16I1402;;;;x
Constância;  1 972;   955;  1 017;   989;   428;   561;   503;   185;   318;;16I1408;;;;x
Entroncamento;  10 949;  5 184;  5 765;  4 301;  1 820;  2 481;  2 306;   909;  1 397;;16I1410;;;;x
Ferreira do Zêzere;  3 721;  1 832;  1 889;  2 531;  1 065;  1 466;  1 398;   534;   864;;16I1411;;;;x
Mação;  2 751;  1 426;  1 325;  2 670;  1 133;  1 537;  1 647;   641;  1 006;;16I1413;;;;x
Ourém;  22 606;  10 976;  11 630;  12 010;  4 901;  7 109;  6 514;  2 380;  4 134;;16I1421;;;;x
Sardoal;  1 760;   887;   873;  1 145;   483;   662;   621;   232;   389;;16I1417;;;;x
Sertã;  7 131;  3 507;  3 624;  4 644;  2 038;  2 606;  2 511;   969;  1 542;;16I0509;;;;x
Tomar;  17 901;  8 620;  9 281;  11 185;  4 651;  6 534;  5 851;  2 214;  3 637;;16I1418;;;;x
Torres Novas;  16 997;  8 252;  8 745;  9 725;  4 147;  5 578;  5 126;  1 997;  3 129;;16I1419;;;;x
Vila de Rei;  1 399;   696;   703;  1 324;   551;   773;   821;   299;   522;;16I0510;;;;x
Vila Nova da Barquinha;  3 544;  1 729;  1 815;  1 941;   834;  1 107;  1 053;   412;   641;;16I1420;;;;x
   Beiras e Serra da Estrela;  101 770;  50 080;  51 690;  69 541;  29 853;  39 688;  37 341;  14 578;  22 763;;16J;;;x;
