Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in madrid,★4.66,"2 bedrooms, 2 beds, 1.5 baths",Centro,Sol,Entire home/apt,164,1,Fernando,446,2023-05-31 00:00:00,40.41906,-3.70627
Condo in madrid,★4.86,"1 bedroom, 1 bed, 1 bath",Arganzuela,Chopera,Entire home/apt,94,4,Azucena,22,2023-06-09 00:00:00,40.39627,-3.69926
Rental unit in madrid,★4.84,"1 bedroom, 1 bed, 1 bath",Arganzuela,Palos de Moguer,Entire home/apt,85,3,Miguel,86,2022-10-18 00:00:00,40.40661,-3.6952
Rental unit in madrid,★4.41,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,91,14,Javier,38,2022-08-29 00:00:00,40.40743,-3.70114
Loft in madrid,★4.69,"4 bedrooms, 4 beds, 1.5 baths",Hortaleza,Valdefuentes,Entire home/apt,140,2,Angela Y Jaime,136,2021-05-21 00:00:00,40.47189,-3.62966
Condo in madrid,★4.57,"1 bedroom, 1 bed, 1 bath",Centro,Sol,Entire home/apt,106,30,Lara,7,2017-12-05 00:00:00,40.41596,-3.70846
Loft in madrid,★4.91,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,134,1,Al,582,2023-05-28 00:00:00,40.42377853393555,-3.702780961990357
Rental unit in madrid,★Unknown,"1 bedroom, 2 beds, 1 bath",Salamanca,Castellana,Entire home/apt,110,30,Raúl,2,2013-09-19 00:00:00,40.4312,-3.68502
Loft in madrid,★4.76,"2 bedrooms, 3 beds, 1 bath",Hortaleza,Valdefuentes,Entire home/apt,120,2,Angela Y Jaime,124,2023-04-09 00:00:00,40.47142,-3.62881
Rental unit in madrid,★4.73,"1 bedroom, 3 beds, 1 bath",Centro,Embajadores,Entire home/apt,122,3,Jose Antonio,65,2023-04-01 00:00:00,40.412682,-3.702548
Rental unit in madrid,★4.32,"2 bedrooms, 2 beds, 1 bath",Tetuán,Berruguete,Private room,24,2,Patricia,68,2023-05-10 00:00:00,40.457,-3.70436
Home in madrid,★4.87,"1 bedroom, 1 bed, 1 shared bath",Latina,Lucero,Private room,32,4,Ivaylo,228,2023-05-30 00:00:00,40.40743,-3.74293
Rental unit in madrid,★4.72,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,119,5,Enrique,192,2023-06-03 00:00:00,40.4093,-3.70884
Serviced apartment in madrid,★4.77,"1 bedroom, 2 beds, 1 bath",Centro,Universidad,Entire home/apt,146,1,Gabriel Avalos,53,2023-05-30 00:00:00,40.42457,-3.70802
Rental unit in madrid,★0.0,"1 bedroom, 3 beds, 1 bath",Puente de Vallecas,San Diego,Private room,45,2,Aurora,3,2014-04-21 00:00:00,40.39366,-3.66535
Rental unit in madrid,★4.51,"1 bedroom, 2 beds, 1 bath",Centro,Palacio,Entire home/apt,115,2,Pe,135,2023-05-16 00:00:00,40.41685,-3.70882
Rental unit in madrid,★4.75,"Studio, 1 bed, 1 bath",Centro,Palacio,Entire home/apt,81,2,Cristina,587,2023-06-04 00:00:00,40.41744,-3.70873
Rental unit in madrid,★5.0,"1 bedroom, 2 beds, 1 bath",Centro,Universidad,Private room,30,1,Juanpe,11,2014-11-08 00:00:00,40.42683,-3.71108
Rental unit in madrid,★5.0,"1 bedroom, 2 beds, 1 bath",Centro,Sol,Entire home/apt,70,3,María,7,2015-08-17 00:00:00,40.41769,-3.69974
Rental unit in madrid,★4.56,"1 bedroom, 3 beds, 1 shared bath",Centro,Justicia,Private room,50,3,Isdel Pablo,44,2023-05-28 00:00:00,40.42226,-3.69959
Rental unit in madrid,★4.84,"1 bedroom, 1 bed, 1 shared bath",Chamartín,Prosperidad,Private room,23,1,Sonia,74,2018-09-19 00:00:00,40.43922,-3.67574
Rental unit in madrid,★4.83,"Studio, 2 beds, 1 bath",Centro,Palacio,Entire home/apt,89,2,Cristina,382,2023-06-01 00:00:00,40.41771,-3.70925
Rental unit in madrid,★4.45,"1 bedroom, 1 bed, 1 shared bath",Centro,Justicia,Private room,41,3,Isdel Pablo,91,2023-05-29 00:00:00,40.42226,-3.69959
Home in madrid,★4.64,"1 bedroom, 1 bed, 2 baths",Arganzuela,Acacias,Entire home/apt,60,2,Ainhoa,25,2017-01-02 00:00:00,40.40349,-3.70418
Condo in madrid,★Unknown,"2 bedrooms, 4 beds, 2 baths",Chamartín,Castilla,Entire home/apt,75,3,Esther,1,2012-09-14 00:00:00,40.47143,-3.6748
Rental unit in madrid,★4.25,"1 bedroom, 2 beds, 1 bath",Centro,Cortes,Entire home/apt,284,1,Jaime,69,2021-12-22 00:00:00,40.41414,-3.69419
Rental unit in madrid,★4.56,"1 bedroom, 4 beds, 2 shared baths",Centro,Embajadores,Private room,10,3,Juan Jesus,56,2022-03-25 00:00:00,40.41256,-3.70373
Rental unit in madrid,★4.64,"2 bedrooms, 4 beds, 1 bath",Centro,Embajadores,Entire home/apt,85,4,Paloma,146,2023-01-24 00:00:00,40.40908,-3.69514
Rental unit in madrid,★5.0,"1 bedroom, 1 bed, 1 shared bath",Ciudad Lineal,Pueblo Nuevo,Private room,35,7,Lili,4,2023-01-19 00:00:00,40.42432,-3.6399
Rental unit in madrid,★4.75,"1 bedroom, 2 beds, 1 shared bath",Ciudad Lineal,Pueblo Nuevo,Private room,30,4,Lili,4,2023-05-02 00:00:00,40.42432,-3.6399
Rental unit in madrid,★4.78,"4 bedrooms, 4 beds, 2 baths",Arganzuela,Delicias,Entire home/apt,125,2,Jesús,130,2023-05-29 00:00:00,40.39516,-3.69309
Rental unit in madrid,★4.67,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,119,2,Sonia,45,2023-06-04 00:00:00,40.41048049926758,-3.7063961029052734
Rental unit in madrid,★4.62,"2 bedrooms, 3 beds, 1 bath",Centro,Justicia,Entire home/apt,90,5,Helena,49,2022-07-31 00:00:00,40.42242,-3.69562
Home in madrid,★4.50,"1 bedroom, 2 beds, 1 bath",Villa de Vallecas,Casco Histórico de Vallecas,Private room,23,1,Fran&Joni,4,2015-12-06 00:00:00,40.37093,-3.62298
Rental unit in madrid,★4.88,"1 bedroom, 2 beds, 1 bath",Centro,Universidad,Entire home/apt,65,25,Pau&Patricia,138,2023-05-30 00:00:00,40.42838,-3.70345
Rental unit in madrid,★4.85,"1 bedroom, 1 bed, 1 private bath",Chamberí,Trafalgar,Private room,46,4,Iguacel,82,2020-01-29 00:00:00,40.43287,-3.7007
Rental unit in madrid,★4.88,"1 bedroom, 2 beds, 1 bath",Centro,Cortes,Entire home/apt,95,3,Cesar,185,2023-05-04 00:00:00,40.41285,-3.69553
Rental unit in madrid,★4.81,"2 bedrooms, 3 beds, 1 bath",Retiro,Pacífico,Entire home/apt,100,3,Félix,134,2023-05-07 00:00:00,40.40222,-3.68096
Rental unit in madrid,★4.68,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,51,25,Miguel Angel & Iaia,178,2023-04-06 00:00:00,40.41037,-3.70018
